id	title	description	link	image_link	availability	condition	price	brand	gtin	google_product_category	product_type	item_group_id	color	size	gender	age_group	material
glacier-pro-mens-black-m	Glacier Pro Men's Ski Jacket — Black, Size M	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-black-m.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-black.jpg	in stock	new	349.00 EUR	Northridge	8123456700019	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Black	M	male	adult	recycled polyester
glacier-pro-mens-black-l	Glacier Pro Men's Ski Jacket — Black, Size L	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-black-l.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-black.jpg	in stock	new	349.00 EUR	Northridge	8123456700026	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Black	L	male	adult	recycled polyester
glacier-pro-mens-black-xl	Glacier Pro Men's Ski Jacket — Black, Size XL	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-black-xl.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-black.jpg	in stock	new	349.00 EUR	Northridge	8123456700033	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Black	XL	male	adult	recycled polyester
glacier-pro-mens-crimson-m	Glacier Pro Men's Ski Jacket — Crimson, Size M	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-crimson-m.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-crimson.jpg	in stock	new	349.00 EUR	Northridge	8123456700040	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Crimson	M	male	adult	recycled polyester
glacier-pro-mens-crimson-l	Glacier Pro Men's Ski Jacket — Crimson, Size L	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-crimson-l.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-crimson.jpg	in stock	new	349.00 EUR	Northridge	8123456700057	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Crimson	L	male	adult	recycled polyester
glacier-pro-mens-crimson-xl	Glacier Pro Men's Ski Jacket — Crimson, Size XL	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-crimson-xl.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-crimson.jpg	in stock	new	349.00 EUR	Northridge	8123456700064	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Crimson	XL	male	adult	recycled polyester
aurora-pro-womens-sapphire-s	Aurora Pro Women's Ski Jacket — Sapphire, Size S	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-sapphire-s.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-sapphire.jpg	in stock	new	329.00 EUR	Northridge	8123456700071	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Sapphire	S	female	adult	recycled polyester
aurora-pro-womens-sapphire-m	Aurora Pro Women's Ski Jacket — Sapphire, Size M	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-sapphire-m.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-sapphire.jpg	in stock	new	329.00 EUR	Northridge	8123456700088	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Sapphire	M	female	adult	recycled polyester
aurora-pro-womens-sapphire-l	Aurora Pro Women's Ski Jacket — Sapphire, Size L	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-sapphire-l.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-sapphire.jpg	in stock	new	329.00 EUR	Northridge	8123456700095	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Sapphire	L	female	adult	recycled polyester
aurora-pro-womens-violet-s	Aurora Pro Women's Ski Jacket — Violet, Size S	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-violet-s.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-violet.jpg	in stock	new	329.00 EUR	Northridge	8123456700101	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Violet	S	female	adult	recycled polyester
aurora-pro-womens-violet-m	Aurora Pro Women's Ski Jacket — Violet, Size M	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-violet-m.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-violet.jpg	in stock	new	329.00 EUR	Northridge	8123456700118	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Violet	M	female	adult	recycled polyester
aurora-pro-womens-violet-l	Aurora Pro Women's Ski Jacket — Violet, Size L	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-violet-l.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-violet.jpg	in stock	new	329.00 EUR	Northridge	8123456700125	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Violet	L	female	adult	recycled polyester
frost-snow-pants-slate-s	Frost Snow Pants — Slate, Size S	Unisex insulated snow pants. Reinforced cuffs, integrated gaiters, and two-way side vents. 15K waterproof, 10K breathability rating.	https://jabadia.github.io/gmc-learning-site/products/frost-snow-pants-slate-s.html	https://jabadia.github.io/gmc-learning-site/images/frost-snow-pants-slate.jpg	in stock	new	199.00 EUR	Northridge	8123456700132	5446	Apparel > Outerwear > Snow Pants	frost-snow-pants	Slate	S	unisex	adult	polyester
frost-snow-pants-slate-m	Frost Snow Pants — Slate, Size M	Unisex insulated snow pants. Reinforced cuffs, integrated gaiters, and two-way side vents. 15K waterproof, 10K breathability rating.	https://jabadia.github.io/gmc-learning-site/products/frost-snow-pants-slate-m.html	https://jabadia.github.io/gmc-learning-site/images/frost-snow-pants-slate.jpg	in stock	new	199.00 EUR	Northridge	8123456700149	5446	Apparel > Outerwear > Snow Pants	frost-snow-pants	Slate	M	unisex	adult	polyester
frost-snow-pants-slate-l	Frost Snow Pants — Slate, Size L	Unisex insulated snow pants. Reinforced cuffs, integrated gaiters, and two-way side vents. 15K waterproof, 10K breathability rating.	https://jabadia.github.io/gmc-learning-site/products/frost-snow-pants-slate-l.html	https://jabadia.github.io/gmc-learning-site/images/frost-snow-pants-slate.jpg	in stock	new	199.00 EUR	Northridge	8123456700156	5446	Apparel > Outerwear > Snow Pants	frost-snow-pants	Slate	L	unisex	adult	polyester
tundra-merino-crew-charcoal-s	Tundra Merino Base Layer Crew — Charcoal, Size S	200gsm merino wool long-sleeve crew. Natural temperature regulation and odor resistance for multi-day tours.	https://jabadia.github.io/gmc-learning-site/products/tundra-merino-crew-charcoal-s.html	https://jabadia.github.io/gmc-learning-site/images/tundra-merino-crew-charcoal.jpg	in stock	new	89.00 EUR	Tundra Wool Co.	8123456700163	5408	Apparel > Activewear > Base Layers	tundra-merino-crew	Charcoal	S	unisex	adult	merino wool
tundra-merino-crew-charcoal-l	Tundra Merino Base Layer Crew — Charcoal, Size L	200gsm merino wool long-sleeve crew. Natural temperature regulation and odor resistance for multi-day tours.	https://jabadia.github.io/gmc-learning-site/products/tundra-merino-crew-charcoal-l.html	https://jabadia.github.io/gmc-learning-site/images/tundra-merino-crew-charcoal.jpg	in stock	new	89.00 EUR	Tundra Wool Co.	8123456700170	5408	Apparel > Activewear > Base Layers	tundra-merino-crew	Charcoal	L	unisex	adult	merino wool
polar-glove-black-m	Polar Touch-screen Glove — Black, Size M	Insulated waterproof glove with conductive fingertips for touch screens. Goat-leather palm, pre-curved fit.	https://jabadia.github.io/gmc-learning-site/products/polar-glove-black-m.html	https://jabadia.github.io/gmc-learning-site/images/polar-glove-black.jpg	in stock	new	59.00 EUR	Northridge	8123456700187	188	Apparel > Accessories > Gloves & Mittens	polar-glove	Black	M	unisex	adult	leather and polyester
polar-glove-black-l	Polar Touch-screen Glove — Black, Size L	Insulated waterproof glove with conductive fingertips for touch screens. Goat-leather palm, pre-curved fit.	https://jabadia.github.io/gmc-learning-site/products/polar-glove-black-l.html	https://jabadia.github.io/gmc-learning-site/images/polar-glove-black.jpg	in stock	new	59.00 EUR	Northridge	8123456700194	188	Apparel > Accessories > Gloves & Mittens	polar-glove	Black	L	unisex	adult	leather and polyester
polar-glove-navy-m	Polar Touch-screen Glove — Navy, Size M	Insulated waterproof glove with conductive fingertips for touch screens. Goat-leather palm, pre-curved fit.	https://jabadia.github.io/gmc-learning-site/products/polar-glove-navy-m.html	https://jabadia.github.io/gmc-learning-site/images/polar-glove-navy.jpg	in stock	new	59.00 EUR	Northridge	8123456700200	188	Apparel > Accessories > Gloves & Mittens	polar-glove	Navy	M	unisex	adult	leather and polyester
polar-glove-navy-l	Polar Touch-screen Glove — Navy, Size L	Insulated waterproof glove with conductive fingertips for touch screens. Goat-leather palm, pre-curved fit.	https://jabadia.github.io/gmc-learning-site/products/polar-glove-navy-l.html	https://jabadia.github.io/gmc-learning-site/images/polar-glove-navy.jpg	in stock	new	59.00 EUR	Northridge	8123456700217	188	Apparel > Accessories > Gloves & Mittens	polar-glove	Navy	L	unisex	adult	leather and polyester
aurora-beanie-charcoal-one-size	Aurora Knit Beanie — Charcoal, Size One Size	Chunky-knit merino-blend beanie. Double-layer cuff for warmth.	https://jabadia.github.io/gmc-learning-site/products/aurora-beanie-charcoal-one-size.html	https://jabadia.github.io/gmc-learning-site/images/aurora-beanie-charcoal.jpg	in stock	new	29.00 EUR	Tundra Wool Co.	8123456700224	1786	Apparel > Accessories > Hats & Beanies	aurora-beanie	Charcoal	One Size	unisex	adult	merino blend
